Week,Cases_MEX
1,5180.5
2,15467
3,15741
4,14819.42857
5,12590.28571
6,8590.142857
7,7406.857143
8,6081.142857
9,6040
10,5678.428571
11,4844.285714
12,4010.285714
13,4069.428571
14,2938.857143
15,3803.571429
16,3318
17,2997.571429
18,2628
19,2350.428571
20,2059.142857
21,2098.285714
22,2186
23,2343.428571
24,2830.142857
25,3304.714286
26,4346.142857
27,5448.571429
28,8137.571429
29,11442.42857
30,14974.28571
31,17566.71429
32,18426.57143
33,19225.14286
34,17003.71429
35,14629.85714
36,12378.14286
37,10735.71429
38,8207.142857
39,8277.142857
40,6254.714286
41,5113.285714
42,4358.714286
43,3656.714286
44,3289.428571
45,2717.714286
46,2831.571429
47,2471.285714
48,2743.857143
49,2593.714286
50,2478.428571
51,2336.857143
52,2994.285714
53,8509.142857
54,30532.28571
55,59368.42857
56,57232.71429
57,39156.71429
58,22689.28571
59,11900
60,8481.142857
61,5055.142857
62,2959.714286
63,1957.285714
64,1406.142857
65,974.8571429
66,920.5714286
67,675.5714286
68,443.1428571
69,557.8571429
70,566.4285714
71,625
72,780.2857143
73,1135.142857
74,1795.428571
75,2883.571429
76,5061.142857
77,8164.285714
78,14370.71429
79,23506.2